Reactor name,Country,Type,"Net Capacity, MWe",Grid Connection Date,Avg_Load_Factor,Age,Assumed_Lifespan,Remaining_Life
AKADEMIK LOMONOSOV-1,RUSSIA,PWR,32,2019-12-19,35.620000000000005,6,60,54
AKADEMIK LOMONOSOV-2,RUSSIA,PWR,32,2019-12-19,27.04,6,60,54
ALMARAZ-1,SPAIN,PWR,1011,1981-05-01,85.84,44,60,16
ALMARAZ-2,SPAIN,PWR,1006,1983-10-08,90.14,42,60,18
ANGRA-1,BRAZIL,PWR,609,1982-04-01,87.52000000000001,43,60,17
ANGRA-2,BRAZIL,PWR,1275,2000-07-21,82.34,25,60,35
ANO-1,UNITED STATES OF AMERICA,PWR,836,1974-08-17,91.3,51,80,29
ANO-2,UNITED STATES OF AMERICA,PWR,988,1978-12-26,88.54,47,60,13
ARMENIAN-2,ARMENIA,PWR,416,1980-01-05,66.66,45,60,15
ASCO-1,SPAIN,PWR,995,1983-08-13,84.46,42,60,18
ASCO-2,SPAIN,PWR,997,1985-10-23,87.34,40,60,20
ATUCHA-1,ARGENTINA,PHWR,340,1974-03-19,75.7,51,80,29
ATUCHA-2,ARGENTINA,PHWR,693,2014-06-27,42.260000000000005,11,60,49
BALAKOVO-1,RUSSIA,PWR,950,1985-12-28,94.8,40,60,20
BALAKOVO-2,RUSSIA,PWR,950,1987-10-08,96.88,38,60,22
BALAKOVO-3,RUSSIA,PWR,950,1988-12-25,94.22,37,60,23
BALAKOVO-4,RUSSIA,PWR,950,1993-04-11,98.67999999999999,32,60,28
BARAKAH-1,UNITED ARAB EMIRATES,PWR,1337,2020-08-19,85.325,5,60,55
BARAKAH-2,UNITED ARAB EMIRATES,PWR,1337,2021-09-14,86.45,4,60,56
BARAKAH-3,UNITED ARAB EMIRATES,PWR,1337,2022-10-08,91.80000000000001,3,60,57
BARAKAH-4,UNITED ARAB EMIRATES,PWR,1337,2024-03-23,83.7,1,60,59
BEAVER VALLEY-1,UNITED STATES OF AMERICA,PWR,908,1976-06-14,93.86000000000001,49,60,11
BEAVER VALLEY-2,UNITED STATES OF AMERICA,PWR,905,1987-08-17,91.23999999999998,38,60,22
BELARUSIAN-1,BELARUS,PWR,1110,2020-11-03,66.3,5,60,55
BELARUSIAN-2,BELARUS,PWR,1110,2023-05-13,76.6,2,60,58
BELLEVILLE-1,FRANCE,PWR,1310,1987-10-14,66.94,38,60,22
BELLEVILLE-2,FRANCE,PWR,1310,1988-07-06,74.97999999999999,37,60,23
BELOYARSK-3,RUSSIA,FBR,560,1980-04-08,76.16,45,60,15
BELOYARSK-4,RUSSIA,FBR,820,2015-12-10,66.14000000000001,10,60,50
BEZNAU-1,SWITZERLAND,PWR,365,1969-07-17,86.18,56,80,24
BEZNAU-2,SWITZERLAND,PWR,365,1971-10-23,91.32,54,80,26
BILIBINO-2,RUSSIA,LWGR,11,1974-12-30,31.6,51,80,29
BILIBINO-3,RUSSIA,LWGR,11,1975-12-22,30.139999999999997,50,60,10
BILIBINO-4,RUSSIA,LWGR,11,1976-12-27,29.72,49,60,11
BLAYAIS-1,FRANCE,PWR,910,1981-06-12,62.4,44,60,16
BLAYAIS-2,FRANCE,PWR,910,1982-07-17,67.66,43,60,17
BLAYAIS-3,FRANCE,PWR,910,1983-08-17,68.61999999999999,42,60,18
BLAYAIS-4,FRANCE,PWR,910,1983-05-16,70.22,42,60,18
BOHUNICE-3,SLOVAKIA,PWR,466,1984-08-20,87.58,41,60,19
BOHUNICE-4,SLOVAKIA,PWR,466,1985-08-09,89.00000000000001,40,60,20
BORSSELE,"NETHERLANDS, KINGDOM OF THE",PWR,482,1973-07-04,87.94,52,80,28
BRAIDWOOD-1,UNITED STATES OF AMERICA,PWR,1194,1987-07-12,96.88,38,60,22
BRAIDWOOD-2,UNITED STATES OF AMERICA,PWR,1160,1988-05-25,95.62,37,60,23
BROWNS FERRY-1,UNITED STATES OF AMERICA,BWR,1200,1973-10-15,94.39999999999999,52,80,28
BROWNS FERRY-2,UNITED STATES OF AMERICA,BWR,1200,1974-08-28,96.58000000000001,51,80,29
BROWNS FERRY-3,UNITED STATES OF AMERICA,BWR,1210,1976-09-12,92.05999999999999,49,60,11
BRUCE-1,CANADA,PHWR,816,1977-01-14,92.28,48,60,12
BRUCE-2,CANADA,PHWR,817,1976-09-04,97.5,49,60,11
BRUCE-3,CANADA,PHWR,770,1977-12-12,51.260000000000005,48,60,12
BRUCE-4,CANADA,PHWR,807,1978-12-21,84.18,47,60,13
BRUCE-5,CANADA,PHWR,817,1984-12-01,90.62,41,60,19
BRUCE-6,CANADA,PHWR,817,1984-06-26,26.060000000000002,41,60,19
BRUCE-7,CANADA,PHWR,817,1986-02-22,91.42,39,60,21
BRUCE-8,CANADA,PHWR,817,1987-03-07,85.08000000000001,38,60,22
BRUNSWICK-1,UNITED STATES OF AMERICA,BWR,938,1976-12-04,92.66,49,60,11
BRUNSWICK-2,UNITED STATES OF AMERICA,BWR,932,1975-04-29,95.54,50,60,10
BUGEY-2,FRANCE,PWR,910,1978-05-10,58.83999999999999,47,60,13
BUGEY-3,FRANCE,PWR,910,1978-09-21,56.2,47,60,13
BUGEY-4,FRANCE,PWR,880,1979-03-08,62.379999999999995,46,60,14
BUGEY-5,FRANCE,PWR,880,1979-07-31,64.14,46,60,14
BUSHEHR-1,"IRAN, ISLAMIC REPUBLIC OF",PWR,915,2011-09-03,68.66,14,60,46
BYRON-1,UNITED STATES OF AMERICA,PWR,1164,1985-03-01,96.97999999999999,40,60,20
BYRON-2,UNITED STATES OF AMERICA,PWR,1136,1987-02-06,98.32000000000001,38,60,22
CALLAWAY-1,UNITED STATES OF AMERICA,PWR,1215,1984-10-24,76.2,41,60,19
CALVERT CLIFFS-1,UNITED STATES OF AMERICA,PWR,877,1975-01-03,98.22,50,60,10
CALVERT CLIFFS-2,UNITED STATES OF AMERICA,PWR,855,1976-12-07,97.92,49,60,11
CATAWBA-1,UNITED STATES OF AMERICA,PWR,1160,1985-01-22,92.92,40,60,20
CATAWBA-2,UNITED STATES OF AMERICA,PWR,1150,1986-05-18,93.38,39,60,21
CATTENOM-1,FRANCE,PWR,1300,1986-11-13,57.75999999999999,39,60,21
CATTENOM-2,FRANCE,PWR,1300,1987-09-17,65.58000000000001,38,60,22
CATTENOM-3,FRANCE,PWR,1300,1990-07-06,52.98,35,60,25
CATTENOM-4,FRANCE,PWR,1300,1991-05-27,61.82000000000001,34,60,26
CERNAVODA-1,ROMANIA,PHWR,650,1996-07-11,87.64000000000001,29,60,31
CERNAVODA-2,ROMANIA,PHWR,650,2007-08-07,93.24,18,60,42
CHANGJIANG-1,CHINA,PWR,601,2015-11-07,88.7,10,60,50
CHANGJIANG-2,CHINA,PWR,601,2016-06-20,87.36,9,60,51
CHASNUPP-1,PAKISTAN,PWR,300,2000-06-13,85.97999999999999,25,60,35
CHASNUPP-2,PAKISTAN,PWR,300,2011-03-14,89.17999999999999,14,60,46
CHASNUPP-3,PAKISTAN,PWR,315,2016-10-15,86.44,9,60,51
CHASNUPP-4,PAKISTAN,PWR,313,2017-06-25,88.9,8,60,52
CHINON B-1,FRANCE,PWR,905,1982-11-30,55.43999999999998,43,60,17
CHINON B-2,FRANCE,PWR,905,1983-11-29,69.46,42,60,18
CHINON B-3,FRANCE,PWR,905,1986-10-20,55.8,39,60,21
CHINON B-4,FRANCE,PWR,905,1987-11-14,66.66,38,60,22
CHOOZ B-1,FRANCE,PWR,1500,1996-08-30,45.839999999999996,29,60,31
CHOOZ B-2,FRANCE,PWR,1500,1997-04-10,42.32000000000001,28,60,32
CIVAUX-1,FRANCE,PWR,1495,1997-12-24,50.83999999999999,28,60,32
CIVAUX-2,FRANCE,PWR,1495,1999-12-24,50.919999999999995,26,60,34
CLINTON-1,UNITED STATES OF AMERICA,BWR,1062,1987-04-24,95.75999999999999,38,60,22
COFRENTES,SPAIN,BWR,1064,1984-10-14,88.36,41,60,19
COLUMBIA,UNITED STATES OF AMERICA,BWR,1131,1984-05-27,93.5,41,60,19
COMANCHE PEAK-1,UNITED STATES OF AMERICA,PWR,1205,1990-04-24,94.12,35,60,25
COMANCHE PEAK-2,UNITED STATES OF AMERICA,PWR,1195,1993-04-09,90.16000000000001,32,60,28
COOK-1,UNITED STATES OF AMERICA,PWR,1030,1975-02-10,93.82,50,60,10
COOK-2,UNITED STATES OF AMERICA,PWR,1168,1978-03-22,91.94000000000001,47,60,13
COOPER,UNITED STATES OF AMERICA,BWR,769,1974-05-10,93.88,51,80,29
